"ticket","trade-date","pnl","volume","lots","sl","tp","swap","commissions","duration","side","open-time","open-price","close-price","close-time","symbol","comment"
"1005725","01/08/2024 02:39:43 PM","-171.75","16835.25","75","224.47","","","","00:00:21:30","SELL","01/08/2024 02:39:43 PM","226.76","224.47","01/08/2024 03:01:14 PM","TSLA.NAS",""
"1009862","01/08/2024 03:07:12 PM","-313","46285","100","","","","","00:01:15:19","SELL","01/08/2024 03:07:12 PM","465.98","462.85","01/08/2024 04:22:32 PM","QQQ.xnms",""
"1009857","01/08/2024 03:07:11 PM","-294","46291","100","","","","","00:01:15:22","SELL","01/08/2024 03:07:11 PM","465.85","462.91","01/08/2024 04:22:33 PM","QQQ.xnms",""
"1059626","02/08/2024 01:30:12 PM","1700","16684","100","","","","","00:00:00:40","BUY","02/08/2024 01:30:12 PM","183.84","166.84","02/08/2024 01:30:52 PM","AMZN.NAS",""
"1059631","02/08/2024 01:30:12 PM","1788","16596","100","","","","","00:00:01:58","BUY","02/08/2024 01:30:12 PM","183.84","165.96","02/08/2024 01:32:11 PM","AMZN.NAS",""
"1062318","02/08/2024 01:40:50 PM","-202","13475","100","","","","","00:00:08:09","SELL","02/08/2024 01:40:50 PM","136.77","134.75","02/08/2024 01:48:59 PM","AMD.NAS",""
"1062323","02/08/2024 01:40:50 PM","-211","13472.999999999998","100","","","","","00:00:08:10","SELL","02/08/2024 01:40:50 PM","136.84","134.73","02/08/2024 01:49:01 PM","AMD.NAS",""
"1062469","02/08/2024 01:41:42 PM","-187.2","16148.4","120","","","","","00:00:07:24","SELL","02/08/2024 01:41:42 PM","136.13","134.57","02/08/2024 01:49:06 PM","AMD.NAS",""
"1062477","02/08/2024 01:41:45 PM","-165.6","16150.800000000001","120","","","","","00:00:07:22","SELL","02/08/2024 01:41:45 PM","135.97","134.59","02/08/2024 01:49:07 PM","AMD.NAS",""
"1065523","02/08/2024 01:55:17 PM","-178.8","19329.600000000002","120","","","","","00:00:19:33","SELL","02/08/2024 01:55:17 PM","162.57","161.08","02/08/2024 02:14:50 PM","AMZN.NAS",""
"1065534","02/08/2024 01:55:17 PM","-190.8","19333.2","120","","","","","00:00:19:33","SELL","02/08/2024 01:55:17 PM","162.7","161.11","02/08/2024 02:14:51 PM","AMZN.NAS",""
"1065539","02/08/2024 01:55:18 PM","-189.6","19326","120","","","","","00:00:19:35","SELL","02/08/2024 01:55:18 PM","162.63","161.05","02/08/2024 02:14:53 PM","AMZN.NAS",""
"1065544","02/08/2024 01:55:18 PM","-193.2","19323.6","120","","","","","00:00:19:35","SELL","02/08/2024 01:55:18 PM","162.64","161.03","02/08/2024 02:14:53 PM","AMZN.NAS",""
"1071282","02/08/2024 02:19:24 PM","801.6","96890.4","120","811.5","","","","00:00:39:01","BUY","02/08/2024 02:19:24 PM","814.1","807.42","02/08/2024 02:58:25 PM","COST.NAS",""
"1071287","02/08/2024 02:19:24 PM","592.8","97099.2","120","809","","","","00:00:55:41","BUY","02/08/2024 02:19:24 PM","814.1","809.16","02/08/2024 03:15:06 PM","COST.NAS",""
"1071292","02/08/2024 02:19:24 PM","592.8","97099.2","120","809","","","","00:00:55:41","BUY","02/08/2024 02:19:24 PM","814.1","809.16","02/08/2024 03:15:06 PM","COST.NAS",""
"1200007","05/08/2024 02:58:11 PM","-529.2","96708","120","805.7","","","","00:01:20:03","BUY","05/08/2024 02:58:11 PM","801.49","805.9","05/08/2024 04:18:14 PM","COST.NAS",""
